Date : 2024-07-11 18:24:44
Directory : /Users/harishv/Documents/Code/isomer/isomer-next/isomer
Total : 616 files,  68406 codes, 1241 comments, 2985 blanks, all 72632 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| apps/studio/prisma/migrations/20240701110303_revert_user_id                                                                                                                 |          1 |         13 |         14 |          7 |         34 |
| apps/studio/public                                                                                                                                                          |          5 |        356 |         41 |         54 |        451 |
| apps/studio/public (Files)                                                                                                                                                  |          2 |        197 |         41 |         51 |        289 |
| apps/studio/public/assets                                                                                                                                                   |          3 |        159 |          0 |          3 |        162 |
| apps/studio/src                                                                                                                                                             |        234 |     10,177 |        616 |      1,204 |     11,997 |
| apps/studio/src (Files)                                                                                                                                                     |          1 |        166 |         37 |         16 |        219 |
| apps/studio/src/components                                                                                                                                                  |         46 |      2,403 |         90 |        227 |      2,720 |
| apps/studio/src/components (Files)                                                                                                                                          |         13 |        546 |         23 |         72 |        641 |
| apps/studio/src/components/AppProviders                                                                                                                                     |          3 |         52 |         12 |         16 |         80 |
| apps/studio/src/components/AuthWrappers                                                                                                                                     |          3 |         64 |         16 |         16 |         96 |
| apps/studio/src/components/ErrorBoundary                                                                                                                                    |          4 |         47 |          3 |         15 |         65 |
| apps/studio/src/components/ImageAttachmentButton                                                                                                                            |          4 |        156 |          3 |         17 |        176 |
| apps/studio/src/components/NavigationalTabs                                                                                                                                 |          3 |         71 |          2 |         12 |         85 |
| apps/studio/src/components/PageEditor                                                                                                                                       |          4 |        786 |         14 |         31 |        831 |
| apps/studio/src/components/RichText                                                                                                                                         |          4 |        411 |         17 |         23 |        451 |
| apps/studio/src/components/Svg                                                                                                                                              |          4 |        185 |          0 |          9 |        194 |
| apps/studio/src/components/VersionWrapper                                                                                                                                   |          4 |         85 |          0 |         16 |        101 |
| apps/studio/src/constants                                                                                                                                                   |          5 |         35 |         11 |         10 |         56 |
| apps/studio/src/contexts                                                                                                                                                    |          1 |         52 |          2 |          9 |         63 |
| apps/studio/src/features                                                                                                                                                    |         67 |      4,035 |         85 |        347 |      4,467 |
| apps/studio/src/features/auth                                                                                                                                               |          2 |         47 |          8 |         12 |         67 |
| apps/studio/src/features/dashboard                                                                                                                                          |          1 |        226 |          1 |          9 |        236 |
| apps/studio/src/features/editing-experience                                                                                                                                 |         32 |      2,083 |         52 |        176 |      2,311 |
| apps/studio/src/features/editing-experience (Files)                                                                                                                         |          1 |          1 |          0 |          1 |          2 |
| apps/studio/src/features/editing-experience/components                                                                                                                      |         26 |      1,654 |         52 |        170 |      1,876 |
| apps/studio/src/features/editing-experience/components (Files)                                                                                                              |          9 |        832 |         42 |         65 |        939 |
| apps/studio/src/features/editing-experience/components/extensions                                                                                                           |          1 |         30 |          1 |          6 |         37 |
| apps/studio/src/features/editing-experience/components/form-builder                                                                                                         |         16 |        792 |          9 |         99 |        900 |
| apps/studio/src/features/editing-experience/components/form-builder (Files)                                                                                                 |          1 |         76 |          0 |          6 |         82 |
| apps/studio/src/features/editing-experience/components/form-builder/renderers                                                                                               |         15 |        716 |          9 |         93 |        818 |
| apps/studio/src/features/editing-experience/components/form-builder/renderers (Files)                                                                                       |          1 |          2 |          0 |          1 |          3 |
| apps/studio/src/features/editing-experience/components/form-builder/renderers/controls                                                                                      |         11 |        538 |          1 |         65 |        604 |
| apps/studio/src/features/editing-experience/components/form-builder/renderers/layouts                                                                                       |          3 |        176 |          8 |         27 |        211 |
| apps/studio/src/features/editing-experience/data                                                                                                                            |          5 |        428 |          0 |          5 |        433 |
| apps/studio/src/features/landing                                                                                                                                            |          7 |        195 |          1 |         25 |        221 |
| apps/studio/src/features/landing/components                                                                                                                                 |          7 |        195 |          1 |         25 |        221 |
| apps/studio/src/features/me                                                                                                                                                 |          2 |         24 |          0 |          7 |         31 |
| apps/studio/src/features/me/api                                                                                                                                             |          2 |         24 |          0 |          7 |         31 |
| apps/studio/src/features/sign-in                                                                                                                                            |         23 |      1,460 |         23 |        118 |      1,601 |
| apps/studio/src/features/sign-in/components                                                                                                                                 |         23 |      1,460 |         23 |        118 |      1,601 |
| apps/studio/src/features/sign-in/components (Files)                                                                                                                         |          5 |        852 |         16 |         35 |        903 |
| apps/studio/src/features/sign-in/components/EmailLogin                                                                                                                      |          6 |        286 |          5 |         35 |        326 |
| apps/studio/src/features/sign-in/components/LoginStep                                                                                                                       |          4 |         69 |          1 |         14 |         84 |
| apps/studio/src/features/sign-in/components/SgidErrorFallback                                                                                                               |          2 |         85 |          0 |         11 |         96 |
| apps/studio/src/features/sign-in/components/SgidLogin                                                                                                                       |          2 |         50 |          1 |          7 |         58 |
| apps/studio/src/features/sign-in/components/SgidProfileList                                                                                                                 |          4 |        118 |          0 |         16 |        134 |
| apps/studio/src/hocs                                                                                                                                                        |          1 |         15 |         17 |          3 |         35 |
| apps/studio/src/hooks                                                                                                                                                       |          2 |         58 |         15 |          8 |         81 |
| apps/studio/src/lib                                                                                                                                                         |         12 |        220 |         14 |         48 |        282 |
| apps/studio/src/lib (Files)                                                                                                                                                 |          7 |        188 |         12 |         36 |        236 |
| apps/studio/src/lib/auth                                                                                                                                                    |          2 |          6 |          1 |          4 |         11 |
| apps/studio/src/lib/errors                                                                                                                                                  |          1 |          3 |          1 |          1 |          5 |
| apps/studio/src/lib/types                                                                                                                                                   |          2 |         23 |          0 |          7 |         30 |
| apps/studio/src/pages                                                                                                                                                       |         14 |        575 |         30 |         70 |        675 |
| apps/studio/src/pages (Files)                                                                                                                                               |          4 |        314 |          8 |         22 |        344 |
| apps/studio/src/pages/api                                                                                                                                                   |          1 |         15 |         18 |          3 |         36 |
| apps/studio/src/pages/api/trpc                                                                                                                                              |          1 |         15 |         18 |          3 |         36 |
| apps/studio/src/pages/dashboard                                                                                                                                             |          2 |         85 |          4 |         12 |        101 |
| apps/studio/src/pages/dashboard (Files)                                                                                                                                     |          1 |         46 |          0 |          4 |         50 |
| apps/studio/src/pages/dashboard/edit                                                                                                                                        |          1 |         39 |          4 |          8 |         51 |
| apps/studio/src/pages/profile                                                                                                                                               |          3 |         40 |          0 |         16 |         56 |
| apps/studio/src/pages/profile/[username]                                                                                                                                    |          3 |         40 |          0 |         16 |         56 |
| apps/studio/src/pages/sign-in                                                                                                                                               |          3 |         85 |          0 |         12 |         97 |
| apps/studio/src/pages/sign-in (Files)                                                                                                                                       |          2 |         75 |          0 |          8 |         83 |
| apps/studio/src/pages/sign-in/sgid                                                                                                                                          |          1 |         10 |          0 |          4 |         14 |
| apps/studio/src/pages/thread                                                                                                                                                |          1 |         36 |          0 |          5 |         41 |
| apps/studio/src/schemas                                                                                                                                                     |          9 |        128 |          8 |         34 |        170 |
| apps/studio/src/schemas (Files)                                                                                                                                             |          8 |        112 |          8 |         30 |        150 |
| apps/studio/src/schemas/auth                                                                                                                                                |          1 |         16 |          0 |          4 |         20 |
| apps/studio/src/schemas/auth/email                                                                                                                                          |          1 |         16 |          0 |          4 |         20 |
| apps/studio/src/server                                                                                                                                                      |         28 |      1,202 |        167 |        212 |      1,581 |
| apps/studio/src/server (Files)                                                                                                                                              |          3 |        165 |         48 |         40 |        253 |
| apps/studio/src/server/modules                                                                                                                                              |         25 |      1,037 |        119 |        172 |      1,328 |
| apps/studio/src/server/modules (Files)                                                                                                                                      |          1 |         15 |          3 |          3 |         21 |
| apps/studio/src/server/modules/auth                                                                                                                                         |         11 |        644 |         64 |         99 |        807 |
| apps/studio/src/server/modules/auth (Files)                                                                                                                                 |          6 |        120 |         14 |         24 |        158 |
| apps/studio/src/server/modules/auth/email                                                                                                                                   |          2 |        215 |         33 |         36 |        284 |
| apps/studio/src/server/modules/auth/email (Files)                                                                                                                           |          1 |         88 |          6 |          8 |        102 |
| apps/studio/src/server/modules/auth/email/__tests__                                                                                                                         |          1 |        127 |         27 |         28 |        182 |
| apps/studio/src/server/modules/auth/sgid                                                                                                                                    |          3 |        309 |         17 |         39 |        365 |
| apps/studio/src/server/modules/database                                                                                                                                     |          4 |         77 |         23 |         21 |        121 |
| apps/studio/src/server/modules/folder                                                                                                                                       |          1 |         49 |          4 |          5 |         58 |
| apps/studio/src/server/modules/me                                                                                                                                           |          3 |         65 |         11 |          9 |         85 |
| apps/studio/src/server/modules/page                                                                                                                                         |          1 |         54 |          3 |         10 |         67 |
| apps/studio/src/server/modules/resource                                                                                                                                     |          2 |         88 |          8 |         18 |        114 |
| apps/studio/src/server/modules/site                                                                                                                                         |          2 |         45 |          3 |          7 |         55 |
| apps/studio/src/stories                                                                                                                                                     |         14 |        409 |         17 |         64 |        490 |
| apps/studio/src/stories (Files)                                                                                                                                             |          1 |        216 |          0 |         24 |        240 |
| apps/studio/src/stories/Page                                                                                                                                                |          3 |        126 |          3 |         29 |        158 |
| apps/studio/src/stories/assets                                                                                                                                              |          8 |          8 |          0 |          0 |          8 |
| apps/studio/src/stories/components                                                                                                                                          |          1 |         29 |          4 |          6 |         39 |
| apps/studio/src/stories/utils                                                                                                                                               |          1 |         30 |         10 |          5 |         45 |
| apps/studio/src/styles                                                                                                                                                      |          8 |        353 |         11 |         71 |        435 |
| apps/studio/src/styles (Files)                                                                                                                                              |          1 |          3 |          0 |          1 |          4 |
| apps/studio/src/styles/editor                                                                                                                                               |          2 |        283 |          9 |         54 |        346 |
| apps/studio/src/styles/isomer-template                                                                                                                                      |          5 |         67 |          2 |         16 |         85 |
| apps/studio/src/styles/isomer-template (Files)                                                                                                                              |          1 |          2 |          0 |          1 |          3 |
| apps/studio/src/styles/isomer-template/components                                                                                                                           |          1 |         39 |          0 |          5 |         44 |
| apps/studio/src/styles/isomer-template/theme                                                                                                                                |          3 |         26 |          2 |         10 |         38 |
| apps/studio/src/templates                                                                                                                                                   |          6 |         88 |          4 |         19 |        111 |
| apps/studio/src/templates (Files)                                                                                                                                           |          1 |          9 |          4 |          2 |         15 |
| apps/studio/src/templates/layouts                                                                                                                                           |          5 |         79 |          0 |         17 |         96 |
| apps/studio/src/theme                                                                                                                                                       |          7 |         84 |          2 |         16 |        102 |
| apps/studio/src/theme (Files)                                                                                                                                               |          2 |         25 |          0 |          5 |         30 |
| apps/studio/src/theme/components                                                                                                                                            |          2 |         40 |          2 |          8 |         50 |
| apps/studio/src/theme/foundations                                                                                                                                           |          3 |         19 |          0 |          3 |         22 |
| apps/studio/src/types                                                                                                                                                       |          2 |         39 |          0 |          9 |         48 |
| apps/studio/src/utils                                                                                                                                                       |         11 |        315 |        106 |         41 |        462 |
| apps/studio/tests                                                                                                                                                           |          7 |        209 |          5 |         48 |        262 |
| apps/studio/tests/integration                                                                                                                                               |          2 |         87 |          3 |         22 |        112 |
| apps/studio/tests/integration/helpers                                                                                                                                       |          2 |         87 |          3 |         22 |        112 |
| apps/studio/tests/load                                                                                                                                                      |          2 |         57 |          1 |         12 |         70 |
| apps/studio/tests/msw                                                                                                                                                       |          3 |         65 |          1 |         14 |         80 |
| apps/studio/tests/msw (Files)                                                                                                                                               |          1 |         31 |          1 |          4 |         36 |
| apps/studio/tests/msw/handlers                                                                                                                                              |          2 |         34 |          0 |         10 |         44 |
| apps/studio/tests/msw/handlers (Files)                                                                                                                                      |          1 |         24 |          0 |          6 |         30 |
| apps/studio/tests/msw/handlers/auth                                                                                                                                         |          1 |         10 |          0 |          4 |         14 |
| docs                                                                                                                                                                        |          4 |      1,913 |          0 |          3 |      1,916 |
| docs (Files)                                                                                                                                                                |          1 |          5 |          0 |          0 |          5 |
| docs/next                                                                                                                                                                   |          3 |      1,908 |          0 |          3 |      1,911 |
| docs/next (Files)                                                                                                                                                           |          1 |      1,827 |          0 |          1 |      1,828 |
| docs/next/samples                                                                                                                                                           |          2 |         81 |          0 |          2 |         83 |
| packages                                                                                                                                                                    |        283 |     16,834 |        243 |      1,208 |     18,285 |
| packages/components                                                                                                                                                         |        283 |     16,834 |        243 |      1,208 |     18,285 |
| packages/components (Files)                                                                                                                                                 |         10 |        252 |         20 |         20 |        292 |
| packages/components/.storybook                                                                                                                                              |          2 |        122 |          3 |         12 |        137 |
| packages/components/src                                                                                                                                                     |        271 |     16,460 |        220 |      1,176 |     17,856 |
| packages/components/src (Files)                                                                                                                                             |          3 |         69 |          0 |          5 |         74 |
| packages/components/src/assets                                                                                                                                              |          2 |        166 |          0 |          2 |        168 |
| packages/components/src/common                                                                                                                                              |          1 |         31 |          1 |          3 |         35 |
| packages/components/src/config                                                                                                                                              |          2 |        162 |          0 |          2 |        164 |
| packages/components/src/engine                                                                                                                                              |          3 |         67 |          0 |         12 |         79 |
| packages/components/src/interfaces                                                                                                                                          |         44 |      1,406 |         15 |        161 |      1,582 |
| packages/components/src/interfaces (Files)                                                                                                                                  |          1 |          3 |          0 |          1 |          4 |
| packages/components/src/interfaces/complex                                                                                                                                  |         13 |        805 |          5 |         59 |        869 |
| packages/components/src/interfaces/internal                                                                                                                                 |         20 |        240 |          0 |         46 |        286 |
| packages/components/src/interfaces/native                                                                                                                                   |         10 |        358 |         10 |         55 |        423 |
| packages/components/src/presets                                                                                                                                             |          3 |        338 |          9 |         19 |        366 |
| packages/components/src/templates                                                                                                                                           |        195 |     13,599 |        184 |        884 |     14,667 |
| packages/components/src/templates/classic                                                                                                                                   |         51 |      2,741 |         70 |        246 |      3,057 |
| packages/components/src/templates/classic (Files)                                                                                                                           |          1 |          1 |          0 |          1 |          2 |
| packages/components/src/templates/classic/components                                                                                                                        |         48 |      2,725 |         70 |        239 |      3,034 |
| packages/components/src/templates/classic/components (Files)                                                                                                                |          2 |         33 |          0 |          3 |         36 |
| packages/components/src/templates/classic/components/Button                                                                                                                 |          3 |         53 |          2 |         12 |         67 |
| packages/components/src/templates/classic/components/Cards                                                                                                                  |          3 |        204 |          2 |          9 |        215 |
| packages/components/src/templates/classic/components/Content                                                                                                                |          3 |        112 |          2 |         12 |        126 |
| packages/components/src/templates/classic/components/Footer                                                                                                                 |          3 |         69 |         15 |          9 |         93 |
| packages/components/src/templates/classic/components/Header                                                                                                                 |          3 |        109 |          5 |         18 |        132 |
| packages/components/src/templates/classic/components/Hero                                                                                                                   |          5 |        695 |         16 |         42 |        753 |
| packages/components/src/templates/classic/components/Image                                                                                                                  |          3 |         67 |          1 |         12 |         80 |
| packages/components/src/templates/classic/components/InfoCards                                                                                                              |          3 |         92 |          2 |         11 |        105 |
| packages/components/src/templates/classic/components/InfoCols                                                                                                               |          3 |        287 |          2 |         21 |        310 |
| packages/components/src/templates/classic/components/Infobar                                                                                                                |          3 |        106 |          1 |         12 |        119 |
| packages/components/src/templates/classic/components/Infopic                                                                                                                |          3 |        199 |          1 |         17 |        217 |
| packages/components/src/templates/classic/components/Masthead                                                                                                               |          3 |        186 |          1 |         13 |        200 |
| packages/components/src/templates/classic/components/Navbar                                                                                                                 |          2 |        160 |          3 |         10 |        173 |
| packages/components/src/templates/classic/components/Search                                                                                                                 |          3 |        232 |         13 |         25 |        270 |
| packages/components/src/templates/classic/components/SidePane                                                                                                               |          3 |        121 |          4 |         13 |        138 |
